MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
TAXI;5351839;02/12/2016;ATIVO;;2060078;5
TAXI;5357233;25/07/2018;ATIVO;02/08/1948;;10
TAXI;5379636;08/04/2016;ATIVO;04/08/1934;11060042;5
TAXI;5387833;09/02/2016;ATIVO;25/06/1956;;10
TAXI;5395330;06/01/2015;ATIVO;03/01/1950;17040035;5
TAXI;5395836;26/03/2014;ATIVO;21/04/1939;21120161;10
TAXI;5410630;04/05/2016;ATIVO;05/06/1943;12040487;5
TAXI;5429331;26/09/2015;ATIVO;;2100185;10
TAXI;5434432;29/05/2017;ATIVO;12/06/1956;5120039;15
TAXI;5465532;11/04/2017;ATIVO;09/04/1957;9080082;30
TAXI;5484731;22/02/2017;BLOQUEADO;17/04/1952;17100283;10
TAXI;5487838;12/01/2015;ATIVO;31/07/1954;;5
TAXI;5491533;15/03/2015;ATIVO;09/09/1948;;10
TAXI;5499739;12/12/2016;ATIVO;;12120022;10
TAXI;5500532;08/07/2015;ATIVO;12/07/1947;18040306;5
TAXI;5509238;31/05/2015;ATIVO;28/05/1955;20040806;10
TAXI;5522137;02/05/2016;ATIVO;13/06/1928;24001163;10
TAXI;5528330;23/09/2015;ATIVO;25/09/1950;;5
TAXI;5533732;09/04/2015;ATIVO;04/05/1938;6180205;10
TAXI;5535832;09/10/2016;ATIVO;27/10/1943;23060204;5
TAXI;5538637;27/02/2018;ATIVO;09/02/1953;20020104;10
TAXI;5542430;06/10/2013;?BITO;25/10/1948;7060084;5
TAXI;5542634;03/07/2018;ATIVO;21/07/1948;24000809;10
TAXI;5549736;26/04/2015;ATIVO;05/06/1950;23080175;10
TAXI;5603838;21/08/2017;ATIVO;;18020259;5
TAXI;5629837;26/01/2014;ATIVO;12/02/1954;17081379;30
TAXI;5641136;06/10/2015;ATIVO;30/10/1950;8040125;5
TAXI;5649935;04/11/2013;CANCELADO;15/02/1949;24000620;20
TAXI;5651735;25/08/2015;ATIVO;22/09/1941;11080280;10
TAXI;5669537;15/03/2014;ATIVO;22/03/1936;;10
TAXI;5682134;22/03/2015;CASSADO;12/07/1954;;20
