Codigo;Marca
007213;I/VESPA LX 150                     
007214;I/PIAGGIO BEVERLY 500              
007215;I/VESPA LX B                       
007216;I/VESPA GT SB                      
007217;I/PIAGGIO BV B 500                 
007218;I/PIAGGIO BV B 250                 
007219;I/VESPA GT 60                      
007220;I/PIAGGIO MPB                      
007221;I/PIAGGIO LIBERTY S 200            
007222;I/VESPA GTB                        
007223;I/PIAGGIO LTB                      
007225;I/VESPA GTS 300                    
007226;I/PIAGGIO MP3 500                  
007228;I/VESPA GTV 250                    
007229;I/VESPA GTB 250                    
007230;I/PIAGGIO MP3 250                  
007231;I/PIAGGIO MP3 400                  
007232;I/PIAGGIO BEVERLY 300 T            
007233;I/PIAGGIO BEVERLY 500 C            
007236;I/VESPA GTV 300                    
007237;I/PIAGGIO MP3 300                  
007238;I/VESPA GTS 300 SUPER              
007239;I/PIAGGIO MP3 300YOURBAN           
007240;I/VESPA GTS 300 TOURING            
007241;I/PIAGGIO MP3 500BUSINES           
007242;I/PIAGGIO BEVERLY 350 S            
007243;I/PIAGGIO MP3 500 SPORT            
007299;IMP/PIAGGIO                        
007301;IMP/SUZUKI AE 50                   
007302;IMP/SUZUKI AG 100                  
007303;IMP/SUZUKI GT 380                  
007304;IMP/SUZUKI GSF 250                 
007305;IMP/SUZUKI GSF 400                 
007306;IMP/SUZUKI GSXR 1100               
007307;IMP/SUZUKI GSXR 750                
007308;IMP/SUZUKI FB 100                  
007309;IMP/SUZUKI AN 125                  
007310;IMP/SUZUKI ROYAL CRISTAL           
007311;IMP/SUZUKI                         
007312;IMP/SUZUKI MAURADER                
007313;IMP/SUZUKI SAVAGE LS650            
007314;IMP/SUZUKI TL 1000S                
007315;IMP/SUZUKI DR 125SJ                
007316;IMP/SUZUKI GN 125R                 
007317;IMP/SUZUKI GN 250R                 
007318;IMP/SUZUKI GS 125ES                
007319;IMP/SUZUKI AX 100                  
007320;IMP/SUZUKI GSXR 600                
007321;IMP/SUZUKI VS800GLW                
007322;JTA/SUZUKI GSX 1300 R              
007323;I/SUZUKI LC 1500                   
007324;I/SUZUKI VS 1400 GLP               
007325;I/SUZUKI GSX 750F                  
007326;I/SUZUKI KATANA 750                
007327;I/SUZUKI BURGMAN 400               
007328;I/SUZUKI THUNDER GSX250            
007330;I/SUZUKI BURGMAN 400               
007333;I/SUZUKI GSXR 1000                 
007334;I/SUZUKI AN650 BURGMAN             
007336;I/SUZUKI BURGMAN 650 EXE           
007340;I/SUZUKI GSX750F                   
007342;I/SUZUKI BURGMAN 650               
007343;I/SUZUKI B-KING                    
007344;I/SUZUKI GSX1300R HAYABU           
007345;I/SUZUKI GSXR 1300                 
007346;I/SUZUKI BOULEVARD M109R           
007350;I/SUZUKI DR650 SE                  
007351;I/SUZUKI DL1000 VSTROM             
007399;IMP/SUZUKI                         
007499;IMP/SUZUKI 750                     
007500;I/VELOCETTE MKIII                  
007599;IMP/VELOCETTE                      
007601;IMP/YAMAHA XV 535                  
007602;IMP/YAMAHA FZR 600                 
007603;IMP/YAMAHA XTZ 750                 
007604;IMP/YAMAHA TDM 850                 
007605;IMP/YAMAHA XV 1100                 
